gal, accel_check?, within_10_of_virial, No_of_centers
20,False,False,1
66,False,False,1
52,True,False,1
72,True,False,1
49,False,False,1
96,False,False,1
945,True,True,1
21,False,True,1
545,False,False,1
80,True,False,1
31,True,True,1
137,False,False,1
407,True,True,1
57,False,False,1
11,False,False,1
38,False,False,1
480,True,False,1
50,False,True,1
100,True,True,1
259,True,False,1
1048,False,False,1
516,False,False,1
383,True,False,1
90,False,False,1
924,True,True,1
375,True,False,1
563,False,False,1
228,True,False,1
169,True,True,1
8,False,False,1
1011,True,False,1
156,False,False,1
804,True,True,1
608,True,True,1
39,False,False,1
83,False,True,1
198,True,False,1
23,False,True,1
61,True,False,1
713,False,False,1
53,False,True,1
74,True,True,1
253,True,False,1
494,True,False,1
964,False,True,1
583,False,True,1
243,True,False,1
22,True,False,1
693,False,False,1
339,False,False,1
430,True,True,1
12,False,False,1
34,False,True,1
141,False,False,1
619,False,False,1
387,True,True,1
391,False,True,1
535,False,False,1
280,False,True,1
322,False,False,1
120,False,False,1
191,True,True,1
610,True,False,1
458,False,True,1
499,True,False,1
149,False,False,1
187,False,False,1
92,False,False,1
162,False,False,1
25,True,False,1
108,False,False,1
106,True,False,1
69,False,False,1
182,False,False,1
758,True,True,1
51,False,False,1
547,True,False,1
13,False,False,1
77,True,True,1
89,True,False,1
968,False,False,1
54,True,True,1
413,False,False,1
1,False,True,1
64,True,True,1
47,True,False,1
95,True,True,1
71,True,True,1
200,True,False,1
36,False,False,1
849,False,False,1
570,False,False,1
496,True,False,1
27,False,False,1
488,False,False,1
1075,False,True,1
233,False,False,1
378,False,True,1
177,True,True,1
260,False,True,1
113,True,False,1
395,True,False,1
629,True,True,1
433,True,True,1
246,True,True,1
943,True,False,1
697,False,True,1
388,False,False,1
1014,True,True,1
561,True,True,1
504,False,False,1
123,True,False,1
159,True,False,1
241,False,False,1
110,False,True,1
147,True,False,1
193,True,False,1
352,False,True,1
255,False,False,1
475,False,False,1
539,True,True,1
165,True,False,1
999,False,False,1
427,False,False,1
290,True,False,1
752,False,False,1
779,True,True,1
152,True,False,1
184,True,False,1
617,False,True,1
328,False,False,1
498,False,True,1
396,True,False,1
379,False,False,1
128,False,False,2
493,True,False,1
657,False,False,1
439,False,True,1
478,True,False,1
2,True,True,2
188,False,False,1
508,False,False,1
594,False,False,1
14,False,False,2
220,False,True,1
575,False,False,1
247,True,False,1
261,True,False,1
598,True,False,1
179,False,False,1
124,False,True,1
16,False,True,1
9,False,True,1
362,True,False,1
329,False,True,1
161,False,True,1
155,True,True,1
197,False,False,1
256,False,False,1
312,False,False,1
18,False,False,1
114,True,True,1
10,False,True,1
132,False,False,1
189,False,False,1
112,False,False,1
166,True,False,1
7,False,False,1
185,True,False,0
134,False,False,1
117,False,False,1
