,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar,g_obs
0,3.098400677216759e-10,7.668485998370046e-10,1.3648015662509225e-15,0.31127293517738674,1.1410507629759495e-09,1.8466882472637262e-10
1,3.1632745621114303e-10,3.88010697085653e-10,2.7926993766214767e-15,0.9338188055321602,7.363884510421909e-10,2.5773991576806715e-10
2,3.554283545826572e-10,2.2602016995657035e-10,4.254871051093446e-15,1.5563646758869338,4.999775875238296e-10,3.5896934458078836e-10
3,3.1420771419399966e-10,1.6367258000547137e-10,4.706228513952644e-15,2.178910546241707,3.937933015431806e-10,3.1369134938335877e-10
4,2.6040800661294785e-10,1.3099928939857626e-10,4.864789844764154e-15,2.801456416596481,3.2810722961749885e-10,2.606995124699847e-10
5,2.2517799133911314e-10,1.0697172718697105e-10,4.9626638622200614e-15,3.4240022869512545,2.7604167704295085e-10,2.2196862695507864e-10
6,1.8671616353256231e-10,8.881838463427291e-11,4.924550697915328e-15,4.046548157306027,2.36519482093223e-10,1.8494578337702036e-10
7,1.570736785702e-10,7.362204662577213e-11,4.7594917661275e-15,4.669094027660801,2.034173974680225e-10,1.497216006410287e-10
8,5.301035802077721e-11,6.123315954452408e-11,2.932537674409495e-15,5.291639898015575,1.7602833469743229e-10,5.015252924837727e-11
9,1.0014111192728859e-11,3.723489587926167e-11,1.4823205113471128e-15,5.9141857683703485,1.2117037889128213e-10,9.471329835923e-12
10,7.883356109126012e-12,3.2276494474040074e-11,1.371542163420386e-15,6.536731638725122,1.0887787845777705e-10,7.459897809272535e-12
11,1.511139255558349e-12,2.821814295240665e-11,-6.055724577647465e-16,7.159277509079895,9.837272281324863e-11,1.3465516796229987e-12
12,1.4100419379593325e-11,9.104057602492204e-12,2.204301668828223e-15,7.781823379434668,4.256437678051486e-11,9.831064369248582e-12
13,2.410350858235188e-12,8.418145348559071e-12,1.0949715610198406e-15,8.404369249789442,4.0038616180699854e-11,2.3307197916637355e-12
14,2.8801596381651157e-12,7.806803856150642e-12,1.2230727535943272e-15,9.026915120144215,3.772404095515267e-11,2.798229135465511e-12
15,3.7753918480171515e-12,7.259358699507621e-12,1.3964749989570885e-15,9.649460990498989,3.559637903651975e-11,3.5152660612551323e-12
16,2.807672349608038e-12,6.768428973215898e-12,1.1839593709547678e-15,10.272006860853763,3.364814005633222e-11,2.4381100446477683e-12
17,1.701756916607852e-12,6.324726966927855e-12,8.972417917572372e-16,10.894552731208536,3.182641343558064e-11,1.3527624421807867e-12
18,,,,11.51709860156331,,
19,,,,12.139644471918084,,
20,,,,12.762190342272856,,
21,,,,13.38473621262763,,
22,,,,14.007282082982403,,
23,,,,14.629827953337177,,
24,,,,15.25237382369195,,
25,,,,15.874919694046724,,
26,,,,16.497465564401494,,
27,,,,17.12001143475627,,
28,,,,17.742557305111042,,
29,,,,18.36510317546582,,
