,mean_acc_obs,mean_acc_bar,mean_vtheta,mean_r,total_mean_acc_bar
0,2.0978989200053707e-12,0.0,-3.641946803358132e-17,0.03158599574775533,0.0
1,5.444655972465986e-12,4.2531912928484165e-12,9.691356196598712e-18,0.09475798724326598,2.521123671407724e-11
2,9.002310355103702e-12,4.9175374444107085e-12,-8.816041315648956e-17,0.15792997873877662,3.0067191949885295e-11
3,3.5688519380650266e-12,6.549628001794418e-12,-1.0063851036315525e-17,0.2211019702342873,3.991141459068928e-11
4,1.518357286011227e-12,7.174601325418456e-12,-4.406247526958362e-18,0.28427396172979796,4.753824435889618e-11
5,3.846647652086219e-12,6.689343326374585e-12,-4.50711808420494e-17,0.3474459532253086,5.7092576529495145e-11
6,2.7508158465285433e-12,6.510812335853929e-12,6.2458672002976186e-18,0.41061794472081925,5.3759423610931916e-11
7,3.0339409495454437e-12,6.040748298895446e-12,3.1113603309832545e-17,0.4737899362163299,5.3825091859297153e-11
8,2.6904014461304373e-12,5.448687152448731e-12,2.176301201370125e-16,0.5369619277118406,5.244112117651889e-11
9,1.2978883900102727e-11,4.793172719283761e-12,5.000473152385815e-16,0.6001339192073513,5.181814998021269e-11
10,9.420627464333371e-12,4.298726082108878e-12,4.252332308488829e-16,0.6633059107028619,5.1347399476704194e-11
11,,,,0.7264779021983725,
12,,,,0.7896498936938832,
13,,,,0.8528218851893938,
14,,,,0.9159938766849045,
15,,,,0.9791658681804152,
16,,,,1.0423378596759258,
17,,,,1.1055098511714365,
18,,,,1.1686818426669472,
19,,,,1.2318538341624579,
20,,,,1.2950258256579685,
21,,,,1.3581978171534792,
22,,,,1.4213698086489899,
23,,,,1.4845418001445005,
24,,,,1.547713791640011,
25,,,,1.6108857831355217,
26,,,,1.6740577746310323,
27,,,,1.737229766126543,
28,,,,1.8004017576220537,
29,,,,1.8635737491175643,
