mean_a_r_py,mean_a_r_total_py,mean_r
1.5894600905668358e-11,4.8737768123385235e-11,1.0244170830031236
3.832622626437767e-11,1.3604386555659963e-10,3.073251249009371
2.9721161671034284e-11,1.25622180562791e-10,5.1220854150156185
2.1927298078161472e-11,1.0634136626624558e-10,7.170919581021865
1.62749850061153e-11,8.797531117905126e-11,9.219753747028113
1.5421023795188578e-11,7.919505118936267e-11,11.26858791303436
1.514902627841494e-11,7.12218439879501e-11,13.317422079040607
1.441027582250559e-11,6.466388086048684e-11,15.366256245046854
1.2343183571529678e-11,5.692984810341009e-11,17.4150904110531
1.0953921552960585e-11,5.108218209987451e-11,19.463924577059352
9.209445515994582e-12,4.5312325575332396e-11,21.512758743065596
7.629225443791642e-12,4.0603512978546754e-11,23.56159290907184
6.4953907206105114e-12,3.663413597736065e-11,25.610427075078093
5.5196960237874935e-12,3.298501504377301e-11,27.659261241084337
4.896679168300446e-12,3.0562682772989994e-11,29.708095407090582
4.2667887470547914e-12,2.8182768092095234e-11,31.756929573096834
3.751574899934548e-12,2.5793662197290547e-11,33.80576373910308
3.3582057551772565e-12,2.407488559831364e-11,35.85459790510933
2.934969068203726e-12,2.2326638651069075e-11,37.903432071115574
2.616902867794495e-12,2.0191495289967925e-11,39.95226623712182
2.402658215559781e-12,1.951796930234208e-11,42.00110040312807
2.2181489270697804e-12,1.8136416573332396e-11,44.049934569134315
2.015777001488971e-12,1.6971017206662646e-11,46.09876873514057
1.8730224761035598e-12,1.6334856294262923e-11,48.14760290114681
1.7404030645814654e-12,1.551386926099835e-11,50.196437067153056
1.6035292977589134e-12,1.4345315288752064e-11,52.2452712331593
1.5134379575768689e-12,1.378619099302301e-11,54.29410539916555
1.3906440882457481e-12,1.2843314496059484e-11,56.3429395651718
1.2905370632210816e-12,1.2233849271384354e-11,58.39177373117805
1.2235284236032672e-12,1.165767605812282e-11,60.44060789718429
