,Gal_number,r_half,r_half_index,z_half,z_half_index,ratio,mass,T_total_mass,gas_r_half,gas_r_half_index,gas_z_half,gas_z_half_index,gas_ratio,gas_mass,specific_angular_mom,h1_specific_angular_mom,max_R
0,1,2.7968189095717486,3071276.0,0.5097274920551812,3082734.0,0.18225259072394898,54620378705.90108,80141412400.64941,12.127141425289903,4743.0,0.37271499491935395,4632.0,0.030733953027223322,15965923469.394905,"[np.float64(2.0727774928233594e-15), np.float64(8.748035598433162e-15), np.float64(1.8452605334415503e-14)]","[unyt_quantity(7.44506508e-15, 'kpc/s'), unyt_quantity(3.32215551e-14, 'kpc/s'), unyt_quantity(7.4608564e-14, 'kpc/s')]",52.82084950837873
1,2,6.205739230416152,4416553.0,0.8329778088796642,4465604.0,0.13422700792791858,79922482339.53773,137415435312.84941,20.650872542908818,9618.0,0.397302290335347,9413.0,0.01923900743224403,35610919358.28938,"[np.float64(2.173178341029385e-14), np.float64(2.295844295004532e-14), np.float64(3.565849124742755e-14)]","[unyt_quantity(7.68315701e-14, 'kpc/s'), unyt_quantity(8.47208659e-14, 'kpc/s'), unyt_quantity(1.30559156e-13, 'kpc/s')]",55.253423111489
2,3,2.458983647361876,11788695.0,1.1395151483647865,11818270.0,0.4634089980985912,238068925383.2683,317182872501.2559,3.813950359359262,182.0,2.6352889143851375,459.0,0.6909604651560965,22895304123.825966,"[np.float64(3.0674512797265425e-15), np.float64(1.5311356267771604e-14), np.float64(6.802579640000408e-16)]","[unyt_quantity(1.33284912e-13, 'kpc/s'), unyt_quantity(2.42276064e-14, 'kpc/s'), unyt_quantity(1.4787173e-14, 'kpc/s')]",106.28967721835818
3,4,2.4303474440356947,19912.0,0.7503216627222208,19902.0,0.30873020421980485,342292475.5344153,1519439474.8048155,3.8733766986065357,260115.0,0.9909883487301027,283999.0,0.25584610685725845,881696336.7185428,"[np.float64(4.920547755956409e-16), np.float64(2.981453573383418e-16), np.float64(2.1522066425648e-15)]","[unyt_quantity(1.19530668e-15, 'kpc/s'), unyt_quantity(2.50264159e-16, 'kpc/s'), unyt_quantity(4.90359576e-15, 'kpc/s')]",8.207984484643395
4,5,4.987262241610586,13399794.0,1.9002198531272174,13409656.0,0.38101462507284567,244299732919.2946,327569484410.3522,8.764367907072142,802.0,2.2540526152924687,1638.0,0.2571837055669045,27544457988.12959,"[np.float64(2.4674449605541102e-14), np.float64(3.369234305891447e-14), np.float64(7.433512220396093e-15)]","[unyt_quantity(6.12358078e-14, 'kpc/s'), unyt_quantity(7.81463685e-14, 'kpc/s'), unyt_quantity(6.3849826e-15, 'kpc/s')]",83.3838477298574
5,6,1.9304863151525673,81.0,1.3371733690962457,81.0,0.6926614079574909,1404903.1995754158,26379993.944647077,3.296730211028232,996.0,0.18558318824531367,979.0,0.056293107523478936,553985.1908778381,"[np.float64(3.302946181494074e-17), np.float64(1.080685948833689e-16), np.float64(3.246907680386262e-16)]","[unyt_quantity(8.31727705e-16, 'kpc/s'), unyt_quantity(5.67917252e-16, 'kpc/s'), unyt_quantity(5.81224612e-16, 'kpc/s')]",6.084838299438708
6,7,5.089904400118427,4101738.0,0.7238046510510762,4135556.0,0.14220397755098022,73647431454.0716,107674221074.90671,12.275875354425862,3853.0,0.4043399880364713,4462.0,0.03293777236754797,21854703305.543083,"[np.float64(1.3823717891480658e-14), np.float64(4.484194703420449e-15), np.float64(3.581548294053722e-14)]","[unyt_quantity(3.88546311e-14, 'kpc/s'), unyt_quantity(7.6255599e-15, 'kpc/s'), unyt_quantity(9.25611453e-14, 'kpc/s')]",60.38933830640607
7,8,4.097237529515938,1448584.0,0.6627917337720893,1457865.0,0.161765513714406,25310237573.74781,37537020010.73184,7.926728293605191,4732.0,0.2535175905489084,5070.0,0.0319826265211375,7956462025.155894,"[np.float64(5.809720654694336e-15), np.float64(1.4717930002838596e-14), np.float64(8.881624037157832e-15)]","[unyt_quantity(1.34182614e-14, 'kpc/s'), unyt_quantity(3.55493463e-14, 'kpc/s'), unyt_quantity(2.10791256e-14, 'kpc/s')]",46.28487037396426
8,9,3.1689829513742502,10316301.0,0.3945483168498483,10440105.0,0.1245031364648869,191337664052.25558,230557528945.06357,9.577321631133156,953.0,0.2201478285956325,973.0,0.02298636686482308,22544382226.65194,"[np.float64(3.07464046013279e-14), np.float64(2.3839485443016933e-14), np.float64(1.6875067021895057e-14)]","[unyt_quantity(8.67488642e-14, 'kpc/s'), unyt_quantity(6.48893598e-14, 'kpc/s'), unyt_quantity(4.77739439e-14, 'kpc/s')]",80.79522886148001
9,10,2.7493392467088946,30217.0,0.7434038594087689,30253.0,0.27039364469068805,517492724.5136052,1448493079.8880053,3.395241516543402,11239.0,0.46004759421038016,9051.0,0.13549775235982076,513118142.65547127,"[np.float64(1.4738912491843365e-15), np.float64(1.3678712319402251e-15), np.float64(7.309224629216744e-16)]","[unyt_quantity(3.35607001e-15, 'kpc/s'), unyt_quantity(2.82327599e-15, 'kpc/s'), unyt_quantity(1.45803959e-15, 'kpc/s')]",21.045262874487324
